Dates,BookValue,,,,
2008-01-08 ,0.239531378162747,,,,
2008-01-09 ,-1.17989709532592,,,,
2008-01-10 ,0.31766516739609,,,,
2008-01-11 ,0.504408638720435,,,,
2008-01-14 ,1.38264731000348,,,,
2008-01-15 ,-0.579043096751968,,,,
2008-01-16 ,0.470583338943326,,,,
2008-01-17 ,-0.0375953499089461,,,,
2008-01-18 ,-1.1714739313863,,,,
2008-01-22 ,-0.440129678741309,,,,
2008-01-23 ,1.72266895107277,,,,
2008-01-24 ,1.22725439748385,,,,
2008-01-25 ,-0.529156743356293,,,,
2008-01-28 ,0.325207015923891,,,,
2008-01-29 ,0.965213934103003,,,,
2008-01-30 ,0.615151604516777,,,,
2008-01-31 ,0.211431362636127,,,,
2008-02-01 ,-0.211142691839352,,,,
2008-02-04 ,0.384094632757724,,,,
2008-02-05 ,-0.10185684701348,,,,
2008-02-06 ,-0.218285693038977,,,,
2008-02-07 ,0.0950839169232235,,,,
2008-02-08 ,-0.184098356296479,,,,
2008-02-11 ,-1.00902946249209,,,,
2008-02-12 ,-1.53899594840845,,,,
2008-02-13 ,0.374738244120632,,,,
2008-02-14 ,-0.654590756924561,,,,
2008-02-15 ,0.461088571217647,,,,
2008-02-19 ,0.432094968252168,,,,
2008-02-20 ,0.595383463483924,,,,
2008-02-21 ,0.211023942162939,,,,
2008-02-22 ,-0.0583804076229617,,,,
2008-02-25 ,0.62840623025971,,,,
2008-02-26 ,-0.242882595942426,,,,
2008-02-27 ,-0.0755982659735657,,,,
2008-02-28 ,-0.444161619613994,,,,
2008-02-29 ,-0.552631985127342,,,,
2008-03-03 ,-0.583765078229284,,,,
2008-03-04 ,-0.137197977697411,,,,
2008-03-05 ,-0.825795007013983,,,,
2008-03-06 ,-0.402309088356159,,,,
2008-03-07 ,0.291187924825095,,,,
2008-03-10 ,0.494880039346463,,,,
2008-03-11 ,0.752748576727682,,,,
2008-03-12 ,0.416959375968016,,,,
2008-03-13 ,-0.798260840500526,,,,
2008-03-14 ,-0.683251398267739,,,,
2008-03-17 ,-0.447503243527324,,,,
2008-03-18 ,0.848376192424864,,,,
2008-03-19 ,-0.0759562069463647,,,,
2008-03-20 ,-0.235525772945849,,,,
2008-03-24 ,0.23487566451668,,,,
2008-03-25 ,-1.03931382933388,,,,
2008-03-26 ,-0.484711023129263,,,,
2008-03-27 ,-0.16956507319483,,,,
2008-03-28 ,0.158852087970187,,,,
2008-03-31 ,0.434870854376124,,,,
2008-04-01 ,-0.619131309478338,,,,
2008-04-02 ,-0.0888647624389501,,,,
2008-04-03 ,-0.0519251424512602,,,,
2008-04-04 ,-0.150957302037201,,,,
2008-04-07 ,-0.650698231161202,,,,
2008-04-08 ,0.636340442482117,,,,
2008-04-09 ,-0.708581065001035,,,,
2008-04-10 ,0.0569578666316917,,,,
2008-04-11 ,-0.705345434956967,,,,
2008-04-14 ,0.586147575996475,,,,
2008-04-15 ,-0.771170098861634,,,,
2008-04-16 ,-0.496801886213803,,,,
2008-04-17 ,0.0179523714564413,,,,
2008-04-18 ,-0.262103511751355,,,,
2008-04-21 ,-0.283045640683626,,,,
2008-04-22 ,-0.388919827506098,,,,
2008-04-23 ,0.891561198382263,,,,
2008-04-24 ,-0.511953225955892,,,,
2008-04-25 ,-0.10037803482559,,,,
2008-04-28 ,0.95088294823993,,,,
2008-04-29 ,0.150804190617178,,,,
2008-04-30 ,-0.232016659099329,,,,
2008-05-01 ,0.117517625542632,,,,
2008-05-02 ,-0.0783560136497525,,,,
2008-05-05 ,0.180145748731492,,,,
2008-05-06 ,-0.413792594993687,,,,
2008-05-07 ,-0.389218293293584,,,,
2008-05-08 ,0.00338430370048619,,,,
2008-05-09 ,-0.328668851293266,,,,
2008-05-12 ,-0.553616915816633,,,,
2008-05-13 ,-0.12170636512206,,,,
2008-05-14 ,-0.470724566068872,,,,
2008-05-15 ,-0.057594459397212,,,,
2008-05-16 ,-0.0196313834862576,,,,
2008-05-19 ,0.256249212743004,,,,
2008-05-20 ,0.483976344918577,,,,
2008-05-21 ,0.20500134423896,,,,
2008-05-22 ,-0.137412642196894,,,,
2008-05-23 ,0.20535280767775,,,,
2008-05-27 ,-0.679412716304187,,,,
2008-05-28 ,-0.392184838170678,,,,
2008-05-29 ,-0.812912024241233,,,,
2008-05-30 ,-0.47456294564359,,,,
2008-06-02 ,-0.819681108436901,,,,
2008-06-03 ,0.275896455489774,,,,
2008-06-04 ,-0.180085696524932,,,,
2008-06-05 ,-0.709761439966628,,,,
2008-06-06 ,0.0942571896401728,,,,
2008-06-09 ,0.311746941729816,,,,
2008-06-10 ,0.461572688882814,,,,
2008-06-11 ,-0.112269134686349,,,,
2008-06-12 ,0.0376168746560887,,,,
2008-06-13 ,-0.243491090386399,,,,
2008-06-16 ,-0.259057716801714,,,,
2008-06-17 ,-0.298848666949177,,,,
2008-06-18 ,-0.610814700030648,,,,
